V1	V2
-1.891	-12.749
-2.946	-24.973
-0.6	-0.486
1.007	-1.208
3.474	18.34
1.912	8.85
-1.695	-2.941
-0.628	-8.507
1.395	-0.729
-1.755	4.49
-0.191	-9.525
-1.276	-2.188
1.53	8.514
-3.824	-14.378
-1.778	-0.414
1.046	-10.869
0.202	5.586
-1.101	-1.502
-0.38	-2.577
2.78	13.374
2.13	6.323
1.617	8.87
0.016	-0.621
2.352	6.245
-0.664	-11.561
1.182	1.064
-1.116	-18.712
1.564	8.027
-1.139	1.918
-1.999	-6.712
0.807	5.58
2.236	1.008
4.432	7.497
1.421	-1.264
4.4	12.809
2.537	7.053
3.001	9.837
3.777	1.141
2.833	1.594
1.212	9.284
0.907	-6.289
-2.749	-8.077
-0.264	-1.601
-0.775	-7.565
-0.926	2.373
-0.903	-4.479
0.063	1.003
-0.637	-4.696
2.854	-3.534
0.748	5.028
-0.772	-10.074
0.981	-2.89
0.331	-2.002
3.132	3.935
0.362	-3.055
4.193	10.621
0.392	-1.672
4.157	15.637
3.159	10.274
1.862	-0.904
-0.127	3.519
-0.695	5.321
1.394	3.619
2.815	0.142
-1.874	-6.037
2.42	12.368
-0.897	-19.539
4.106	0.468
2.458	-2.279
0.845	-10.335
2.423	-0.772
0.306	-2.811
1.786	4.403
2.551	9.011
-0.66	12.036
4.033	11.517
-2.899	-17.604
1.584	8.641
1.071	0.58
-2.714	-5.231
-1.667	-9.381
2.068	4.293
-0.148	3.42
4.437	3.621
2.46	8.497
2.946	8.748
4.192	13.062
-2.27	-15.388
0.967	4.111
0.399	-0.406
2.558	-4.211
0.873	3.518
2.909	3.213
-0.397	-0.878
0.376	3.549
-0.373	-5.897
1.264	9.63
1.309	0.865
2.932	6.334
3.448	5.129
-1.777	-0.517
-1.68	-0.481
2.527	12.67
-2.899	-8.58
-0.317	-1.756
-0.583	-5.223
-0.154	-2.86
3.485	10.971
1.266	1.562
0.439	1.456
3.953	11.723
3.153	10.396
0.245	-5.059
-0.735	-5.279
3.047	3.158
-0.463	-3.735
0.753	7.423
-1.671	-0.356
1.437	8.811
2.531	7.058
0.489	-4.324
-1.175	-13.446
-0.549	-12.443
-1.98	-2.318
2.036	1.237
1.642	-0.119
0.304	-8.685
2.97	4.705
-0.464	-8.667
3.106	13.606
2.612	3.615
2.985	-1.445
3.073	2.784
-1.39	0.374
-1.55	-5.22
0.48	5.308
3.038	-0.039
0.919	8.437
-1.651	-7.222
1.252	3.297
-1.52	4.102
1.943	11.782
4.399	4.583
3.573	0.245
1.262	7.605
1.661	2.678
1.859	9.678
-1.911	-10.758
-0.404	10.097
-2.225	-9.885
1.472	3.794
-0.161	-9.21
-0.05	10.441
-2.34	-7.362
2.209	9.812
-1.449	-16.273
-1.457	-7.424
2.772	3.155
2.292	0.564
-0.398	1.42
-0.622	-2.139
2.146	1.247
4.576	7.303
1.365	1.227
5.178	24.079
2.023	2.662
3.357	11.286
-3.216	-17.601
0.864	2.025
2.958	9.237
3.067	10.843
1.302	12.577
4.597	9.899
3.574	23.594
-0.081	-2.619
1.693	3.944
0.878	-3.91
-3.411	-13.935
-1.229	-13.612
-0.588	1.766
0.717	-4.385
3.518	10.677
2.213	10.817
3.642	11.944
1.338	1.717
0.159	0.36
1.634	3.726
0.224	3.702
2.445	6.406
-2.67	-6.859
2.192	-0.885
-0.711	-5.566
1.607	3.164
-0.355	-18.69
3.34	8.39
1.158	5.649
1.5	9.304
-0.799	-2.694
4.162	3.207
1.862	8.373
4.482	15.365
0.641	6.025
0.242	5.447
-2.211	-10.932
0.176	-3.412
3.86	5.783
3.165	19.024
0.965	-10.059
2.128	0.554
0.975	2.655
4.11	-1.275
0.128	-2.981
2.772	2.844
0.15	0.28
1.217	8.377
1.107	-1.549
0.377	-7.996
3.688	11.276
1.278	2.052
2.877	-8.686
-2.528	-4.907
-0.048	3.789
0.219	-7.323
3.054	9.264
-3.756	-10.322
3.434	8.669
1.799	8.165
3.78	1.475
-0.447	1.233
0.964	5.355
2.822	12.535
4.859	3.035
-0.093	-15.046
-0.005	2.187
1.003	-0.829
1.976	0.85
1.435	1.655
1.094	-3.139
0.848	-2.078
1.777	0.232
3.637	24.712
2.011	-7.285
-0.66	6.097
3.338	11.92
-0.459	-6.077
2.349	6.487
-1.049	-2.899
1.387	-5
-0.732	-2.753
1.027	-4.721
1.711	-8.035
-0.306	-4.212
4.109	11.705
2.353	4.432
-2.353	-2.715
4.211	1.381
0.909	-3.328
2.936	8.748
-0.676	-2.276
-0.133	6.907
-0.969	-1.357
2.952	6.171
5.184	14.181
-0.371	-0.177
-0.673	-8.601
-0.363	-10.763
-0.24	1.792
1.509	-0.579
-1.504	-12.686
1.171	-6.146
4.076	11.57
-0.684	-2.358
-0.89	-8.822
-0.044	7.046
4.6	7.459
1.334	0.457
3.608	5.267
0.499	-1.8
0.254	6.046
0.654	10.823
2.992	8.724
1.183	9.639
3.078	-2.522
1.718	-4.222
1.496	10.389
4.158	2.423
-0.625	-1.104
0.012	-3.529
-2.999	-14.418
1.528	-4.221
-1.022	-16.041
-0.097	9.472
-0.344	-4.819
0.928	10.711
-0.817	-6.494
-1.889	-4.487
2.367	4.906
0.099	1.228
2.319	1.788
0.341	-2.026
-0.229	-3.808
-2.079	-14.686
1.456	4.28
-3.6	-10.47
4.487	5.803
0.699	-0.919
2.346	22.259
2.893	6.541
0.245	-8.421
-2.456	-12.889
2.788	-0.091
-0.444	-1.8
3.017	3.745
2.523	7.348
-0.509	-11.238
-3.634	-12.033
-2.422	-0.785
3.131	12.056
1.291	2.633
-1.553	-3.894
-2.32	-11.459
-0.325	-5.6
0.073	-4.293
1.865	4.737
2.924	1.428
5.309	8.735
1.279	0.83
-0.217	0.007
1.51	14.351
1.653	-7.848
0.184	-6.477
4.76	13.412
-1.075	-7.737
0.817	6.89
-1.379	-4.526
0.942	2.927
1.274	2.12
-1.965	-7.429
0.341	-6.858
-2.271	-8.031
1.16	-0.554
0.047	-4.401
-1.671	0.044
2.666	10.201
-1.782	-5.464
1.388	6.672
4.297	10.684
0.79	-8.195
0.375	-12.915
-3.004	-13.24
-1.613	-7.444
-0.924	-8.77
-0.389	-3.28
0.469	-21.365
-1.1	1.085
1.643	6.319
2.643	8.517
2.188	-2.193
1.803	0.918
1.474	5.218
-0.654	-4.281
2.016	10.946
0.127	-6.495
